pos1	pos2	pos3	pos4	audio	lijst
cowboy.jpg	pig.jpg	hammer2.jpg	wall.jpg	10_E_gereedschap_bouw.wav	2
door.jpg	zipper.jpg	cactus.jpg	hoe.jpg	11_E_spijkerbroek_sluiten.wav	2
seesaw.jpg	swing.jpg	cow.jpg	palmtree.jpg	12_E_tweepersonen_speeltuin.wav	2
fork.jpg	dime.jpg	queen.jpg	dragon.jpg	13_E_staart_sprookjes.wav	2
trophy.jpg	dustpan.jpg	crab.jpg	shell.jpg	14_E_beweegt_strand.wav	2
sausage.jpg	clock.jpg	watch.jpg	poker.jpg	15_E_bandje_tijd.wav	2
top.jpg	cage.jpg	sun.jpg	mousetrap.jpg	16_E_deurtje_vangen.wav	2
beaver.jpg	rug.jpg	bottle.jpg	mouse.jpg	17_E_piept_knaagdier.wav	2
motorcycle.jpg	butterfly.jpg	stoplight.jpg	whip.jpg	18_E_wielen_verkeer.wav	2
knife.jpg	alligator.jpg	dinosaur.jpg	box.jpg	19_E_uitgestorven_reptiel.wav	2
tv.jpg	tiger.jpg	brush.jpg	zebra.jpg	20_E_vlees_strepen.wav	2
mug.jpg	star.jpg	tweezers.jpg	kettle.jpg	21_E_tuit_thee.wav	2
rain.jpg	hamburger.jpg	mushroom.jpg	paw.jpg	22_E_neerslag_herfst.wav	2
popcorn.jpg	dime.jpg	diamond.jpg	clown.jpg	23_E_hoekig_waarde.wav	2
rabbit.jpg	fishingpole.jpg	genie.jpg	net.jpg	24_E_haak_vissen.wav	2
pyramid.jpg	cell.jpg	pliers.jpg	camel.jpg	25_E_bulten_Egypte.wav	2
balloon.jpg	mitt.jpg	cake.jpg	fly.jpg	26_E_opblazen_feestje.wav	2
closet.jpg	cross.jpg	devil.jpg	scarf.jpg	27_E_kwaad_geloof.wav	2
waiter.jpg	gun.jpg	organ.jpg	cannon.jpg	28_E_draagbaar_schieten.wav	2
window.jpg	glasses.jpg	tank1.jpg	microphone.jpg	29_L_glas_montuur.wav	2
book.jpg	owl.jpg	belt.jpg	grave2.jpg	31_L_wijsheid_pagina.wav	2
blimp.jpg	rope.jpg	deer.jpg	moose.jpg	32_L_gewei_kou.wav	2
crown.jpg	lawnmower.jpg	kite.jpg	fan.jpg	33_L_wind_touw.wav	2
submarine.jpg	shark.jpg	ghost.jpg	skirt.jpg	34_L_zee_kieuwen.wav	2
onion.jpg	tear.jpg	hanger.jpg	saddle.jpg	35_L_huilen_groente.wav	2
jacket.jpg	sun.jpg	cat.jpg	dog.jpg	36_L_huisdier_kwispelen.wav	2
turkey.jpg	cactus.jpg	ring.jpg	bride.jpg	37_L_trouwerij_levenloos.wav	2
spaghetti.jpg	pizza.jpg	rain.jpg	shower.jpg	38_L_Italie_rond.wav	2
tie.jpg	desk.jpg	chicken.jpg	carrot.jpg	39_L_kantoor_kledingstuk.wav	2
unicorn.jpg	toe.jpg	pan.jpg	stove.jpg	40_L_koken_kookpitten.wav	2
alarmclock.jpg	chicken.jpg	saw.jpg	hammer.jpg	41_L_gereedschap_tanden.wav	2
eskimo.jpg	penguin.jpg	bomb.jpg	cigarette.jpg	42_L_kou_snavel.wav	2
snail.jpg	turtle.jpg	gun.jpg	balloon.jpg	43_L_langzaam_slijmerig.wav	2
bench.jpg	anchor.jpg	porcupine.jpg	chair.jpg	44_L_zitten_eenpersoon.wav	2
accordion.jpg	cloud.jpg	piano.jpg	king.jpg	45_L_toetsen_draagbaar.wav	2
crab.jpg	microscope.jpg	telescope.jpg	basket.jpg	46_L_vergroten_astronomie.wav	2
skis.jpg	letter.jpg	wateringcan.jpg	mailbox.jpg	47_L_post_afzender.wav	2
microphone.jpg	guitar.jpg	plate.jpg	parrot.jpg	48_L_praten_veren.wav	2
trophy.jpg	dress.jpg	medal.jpg	anvil.jpg	49_L_prijs_oren.wav	2
violin.jpg	snake.jpg	scorpion.jpg	shower.jpg	50_L_gif_poten.wav	2
pumpkin.jpg	washingmachine.jpg	lobster.jpg	vacuum.jpg	51_L_schoonmaken_water.wav	2
pen.jpg	tape.jpg	ashtray.jpg	typewriter.jpg	52_L_schrijver_toetsen.wav	2
carrot.jpg	teepee.jpg	shoe.jpg	wheel.jpg	53_L_Sinterklaas_eten.wav	2
whip.jpg	ear.jpg	nose.jpg	strawberry.jpg	54_L_zintuig_voorkant.wav	2
bear.jpg	knife.jpg	stethoscope.jpg	sword.jpg	30_L_scherp_keuken.wav	2
wheelchair.jpg	windmill.jpg	hair.jpg	stroller.jpg	55_L_wielen_baby.wav	2
banana.jpg	lipstick.jpg	pineapple.jpg	nurse.jpg	56_L_fruit_krom.wav	2
skateboard.jpg	truck.jpg	horse.jpg	dog.jpg	1_E_hinnikt_dier.wav	3
match1.jpg	candle.jpg	rake.jpg	crib.jpg	2_E_was_vuur.wav	3
apple.jpg	egg.jpg	wheelbarrow.jpg	scissors.jpg	3_E_boom_eten.wav	3
butter.jpg	cast.jpg	car.jpg	train.jpg	4_E_conducteurs_vervoer.wav	3
