file	label1	onset1	dur1	totdur	file_c	label2	onset2	dur2	totdur_c
44_L_zitten_eenpersoon 	woord1	0.9019774610157902	313	3309	44_L_zitten_eenpersoon 	woord2	2.5490236717787855	760	3309
45_E_draagbaar_toetsen 	woord1	0.901552220586638	558	2892	45_E_draagbaar_toetsen 	woord2	1.8063692722849538	337	2892
45_L_toetsen_draagbaar 	woord1	0.9197258081652974	306	2903	45_L_toetsen_draagbaar 	woord2	2.23654862553152	666	2903
46_E_astronomie_vergroten 	woord1	1.3678254992069487	770	3907	46_E_astronomie_vergroten 	woord2	2.6531077694034693	606	3907
46_L_vergroten_astronomie 	woord1	0.9000892030259215	482	3663	46_L_vergroten_astronomie 	woord2	2.942120753453728	721	3663
47_E_afzender_post 	woord1	0.9004954600681709	566	3037	47_E_afzender_post 	woord2	2.0005681760241094	272	3037
47_L_post_afzender 	woord1	1.0180898268008292	226	2850	47_L_post_afzender 	woord2	2.238851375838269	600	2850
48_E_veren_praten 	woord1	0.6803746058922805	633	2853	48_E_veren_praten 	woord2	1.7551224953269304	406	2853
48_L_praten_veren 	woord1	0.9173378550756656	320	2704	48_L_praten_veren 	woord2	2.095511189805384	599	2704
49_E_oren_prijs 	woord1	0.9258831533230266	442	2991	49_E_oren_prijs 	woord2	1.8719049831855807	292	2991
49_L_prijs_oren 	woord1	1.10795606266215	262	2995	49_L_prijs_oren 	woord2	2.508153613263795	459	2995
50_E_poten_gif 	woord1	1.0120227930487722	480	3034	50_E_poten_gif 	woord2	2.2122954240507333	262	3034
50_L_gif_poten 	woord1	1.2939451015912646	218	2958	50_L_gif_poten 	woord2	2.4273114719008455	530	2958
51_E_water_schoonmaken 	woord1	1.0553418278475102	516	3698	51_E_water_schoonmaken 	woord2	2.3043209116589343	601	3698
51_L_schoonmaken_water 	woord1	1.0494436608829638	564	3434	51_L_schoonmaken_water 	woord2	2.9302061453180737	499	3434
52_E_toetsen_schrijver 	woord1	0.9218499294132234	463	2984	52_E_toetsen_schrijver 	woord2	1.8660842730402551	480	2984
52_L_schrijver_toetsen 	woord1	0.999591175630543	444	2847	52_L_schrijver_toetsen 	woord2	2.3225576652418156	523	2847
53_E_eten_Sinterklaas 	woord1	0.8698991971110412	542	3136	53_E_eten_Sinterklaas 	woord2	1.8445298237303482	614	3136
53_L_Sinterklaas_eten 	woord1	0.8923821473673882	697	3179	53_L_Sinterklaas_eten 	woord2	2.5771815627944075	585	3179
54_E_voorkant_zintuig 	woord1	0.845848327034859	644	3283	54_E_voorkant_zintuig 	woord2	2.060279362720271	554	3283
54_L_zintuig_voorkant 	woord1	1.0569131109801218	525	3545	54_L_zintuig_voorkant 	woord2	2.768478901215139	765	3545
55_E_baby_wielen 	woord1	1.2990474068564504	495	3362	55_E_baby_wielen 	woord2	2.167785823137401	291	3362
55_L_wielen_baby 	woord1	0.9847084248735871	289	3568	55_L_wielen_baby 	woord2	2.949801114322212	619	3568
56_E_krom_fruit 	woord1	0.7357658101094187	315	2402	56_E_krom_fruit 	woord2	1.6412987473025749	304	2402
56_L_fruit_krom 	woord1	0.9657822794752192	310	2454	56_L_fruit_krom 	woord2	2.130222336938404	323	2454
