Source.Name	audio	count_fixation	pos1	pos2	pos3	pos4	subject_nr
subject-1101.csv	25_E_bulten_Egypte.wav	51	cell.jpg	camel.jpg	pliers.jpg	pyramid.jpg	1101
subject-1101.csv	28_E_draagbaar_schieten.wav	52	organ.jpg	cannon.jpg	gun.jpg	waiter.jpg	1101
subject-1101.csv	16_E_deurtje_vangen.wav	53	sun.jpg	mousetrap.jpg	cage.jpg	top.jpg	1101
subject-1101.csv	4_E_conducteurs_vervoer.wav	54	car.jpg	train.jpg	butter.jpg	cast.jpg	1101
subject-1101.csv	50_L_gif_poten.wav	55	scorpion.jpg	violin.jpg	snake.jpg	shower.jpg	1101
subject-1101.csv	21_E_tuit_thee.wav	56	star.jpg	kettle.jpg	tweezers.jpg	mug.jpg	1101
subject-1101.csv	40_L_koken_kookpitten.wav	57	stove.jpg	pan.jpg	unicorn.jpg	toe.jpg	1101
subject-1101.csv	17_E_piept_knaagdier.wav	58	rug.jpg	mouse.jpg	bottle.jpg	beaver.jpg	1101
subject-1101.csv	27_E_kwaad_geloof.wav	59	devil.jpg	closet.jpg	cross.jpg	scarf.jpg	1101
subject-1102.csv	prac3_E_badkamer_water.wav	0	beard.jpg	wallet.jpg	hose.jpg	shower.jpg	1102
subject-1102.csv	prac1_E_wielen_ziekenhuis.wav	1	wheelchair.jpg	nurse.jpg	bee.jpg	pan.jpg	1102
subject-1102.csv	prac4_L_hakken_natuurlijk.wav	2	priest2.jpg	log2.jpg	arrow.jpg	ax.jpg	1102
subject-1102.csv	prac2_L_nacht_kerstboom.wav	3	moon.jpg	wallet.jpg	star.jpg	belt.jpg	1102
subject-1102.csv	46_L_vergroten_astronomie.wav	4	crab.jpg	microscope.jpg	telescope.jpg	basket.jpg	1102
subject-1102.csv	34_L_zee_kieuwen.wav	5	submarine.jpg	shark.jpg	ghost.jpg	skirt.jpg	1102
subject-1102.csv	25_E_bulten_Egypte.wav	6	pyramid.jpg	cell.jpg	pliers.jpg	camel.jpg	1102
subject-1102.csv	36_L_huisdier_kwispelen.wav	7	jacket.jpg	sun.jpg	cat.jpg	dog.jpg	1102
subject-1102.csv	10_E_gereedschap_bouw.wav	8	cowboy.jpg	pig.jpg	hammer2.jpg	wall.jpg	1102
subject-1102.csv	1_E_hinnikt_dier.wav	9	skateboard.jpg	truck.jpg	dog.jpg	horse.jpg	1102
subject-1102.csv	13_E_staart_sprookjes.wav	10	fork.jpg	dime.jpg	queen.jpg	dragon.jpg	1102
subject-1102.csv	48_L_praten_veren.wav	11	microphone.jpg	guitar.jpg	plate.jpg	parrot.jpg	1102
subject-1102.csv	47_L_post_afzender.wav	12	skis.jpg	letter.jpg	wateringcan.jpg	mailbox.jpg	1102
subject-1102.csv	23_E_hoekig_waarde.wav	13	popcorn.jpg	dime.jpg	diamond.jpg	clown.jpg	1102
subject-1102.csv	50_L_gif_poten.wav	14	violin.jpg	snake.jpg	scorpion.jpg	shower.jpg	1102
subject-1102.csv	31_L_wijsheid_pagina.wav	15	book.jpg	owl.jpg	belt.jpg	grave2.jpg	1102
subject-1102.csv	8_E_kraters_ruimte.wav	16	moon.jpg	rocket.jpg	lion.jpg	table.jpg	1102
subject-1102.csv	33_L_wind_touw.wav	17	crown.jpg	lawnmower.jpg	kite.jpg	fan.jpg	1102
subject-1102.csv	11_E_spijkerbroek_sluiten.wav	18	door.jpg	zipper.jpg	cactus.jpg	hoe.jpg	1102
subject-1102.csv	38_L_Italie_rond.wav	19	spaghetti.jpg	pizza.jpg	rain.jpg	shower.jpg	1102
subject-1102.csv	7_E_slurf_dierentuin.wav	20	monkey.jpg	elephant.jpg	couch.jpg	unicycle.jpg	1102
subject-1102.csv	42_L_kou_snavel.wav	21	eskimo.jpg	penguin.jpg	bomb.jpg	cigarette.jpg	1102
subject-1102.csv	56_L_fruit_krom.wav	22	banana.jpg	lipstick.jpg	pineapple.jpg	nurse.jpg	1102
subject-1102.csv	9_E_bespannen_sport.wav	23	mosquito.jpg	wig.jpg	bat1.jpg	tennisracket.jpg	1102
subject-1102.csv	27_E_kwaad_geloof.wav	24	closet.jpg	cross.jpg	devil.jpg	scarf.jpg	1102
subject-1102.csv	54_L_zintuig_voorkant.wav	25	whip.jpg	ear.jpg	nose.jpg	strawberry.jpg	1102
subject-1102.csv	52_L_schrijver_toetsen.wav	26	pen.jpg	tape.jpg	ashtray.jpg	typewriter.jpg	1102
subject-1102.csv	18_E_wielen_verkeer.wav	27	motorcycle.jpg	butterfly.jpg	stoplight.jpg	whip.jpg	1102
subject-1102.csv	55_L_wielen_baby.wav	28	wheelchair.jpg	windmill.jpg	hair.jpg	stroller.jpg	1102
subject-1102.csv	16_E_deurtje_vangen.wav	29	top.jpg	cage.jpg	sun.jpg	mousetrap.jpg	1102
subject-1102.csv	28_E_draagbaar_schieten.wav	30	waiter.jpg	gun.jpg	organ.jpg	cannon.jpg	1102
subject-1102.csv	41_L_gereedschap_tanden.wav	31	alarmclock.jpg	chicken.jpg	saw.jpg	hammer.jpg	1102
subject-1102.csv	21_E_tuit_thee.wav	32	mug.jpg	star.jpg	tweezers.jpg	kettle.jpg	1102
subject-1102.csv	53_L_Sinterklaas_eten.wav	33	carrot.jpg	teepee.jpg	shoe.jpg	wheel.jpg	1102
subject-1102.csv	15_E_bandje_tijd.wav	34	sausage.jpg	clock.jpg	watch.jpg	poker.jpg	1102
subject-1102.csv	26_E_opblazen_feestje.wav	35	balloon.jpg	mitt.jpg	cake.jpg	fly.jpg	1102
subject-1102.csv	32_L_gewei_kou.wav	36	blimp.jpg	rope.jpg	deer.jpg	moose.jpg	1102
subject-1102.csv	43_L_langzaam_slijmerig.wav	37	snail.jpg	turtle.jpg	gun.jpg	balloon.jpg	1102
subject-1102.csv	51_L_schoonmaken_water.wav	38	pumpkin.jpg	washingmachine.jpg	lobster.jpg	vacuum.jpg	1102
